MATCH:  A =  2017157, B = 16199346, M = 16611841, mu = 129, Z =    3327134, golden =         3327134
MATCH:  A =   951281, B =  4298221, M = 10120881, mu = 212, Z =     288863, golden =          288863
MATCH:  A =   496311, B =  3826050, M = 15735187, mu = 136, Z =    4069577, golden =         4069577
MATCH:  A =  4230516, B =  2359703, M = 12016009, mu = 178, Z =    5211656, golden =         5211656
MATCH:  A =  2921494, B = 13344808, M = 16000355, mu = 134, Z =    7503407, golden =         7503407
MATCH:  A = 11171734, B =  2780764, M = 13112495, mu = 163, Z =    3033211, golden =         3033211
MATCH:  A =  2961644, B =  6346293, M =  9786411, mu = 219, Z =    2570655, golden =         2570655
MATCH:  A =  9856281, B =  3031340, M =  9869255, mu = 217, Z =     376015, golden =          376015
MATCH:  A =  1403272, B =  4144639, M = 10968975, mu = 195, Z =    9151483, golden =         9151483
MATCH:  A =   807567, B =   364257, M = 13623929, mu = 157, Z =    7681680, golden =         7681680
MATCH:  A =  5694212, B =  6773241, M = 15532955, mu = 138, Z =    5047912, golden =         5047912
MATCH:  A =   112460, B =  6268778, M =  8753575, mu = 245, Z =     104105, golden =          104105
MATCH:  A =  9449005, B =  1978574, M = 12785545, mu = 167, Z =    7512525, golden =         7512525
MATCH:  A =  5261084, B =  8572086, M = 12437129, mu = 172, Z =    4477389, golden =         4477389
MATCH:  A =  8410824, B =   168724, M = 13511323, mu = 158, Z =     102563, golden =          102563
MATCH:  A =  2915702, B = 12081874, M = 14089851, mu = 152, Z =    8692070, golden =         8692070
MATCH:  A =   583578, B =  4031694, M = 13315107, mu = 161, Z =    1884018, golden =         1884018
MATCH:  A =  2616092, B =  2106674, M =  8746989, mu = 245, Z =    2650822, golden =         2650822
MATCH:  A = 12499056, B =  1171625, M = 15038185, mu = 142, Z =    6894815, golden =         6894815
MATCH:  A = 11206748, B = 13151016, M = 14675491, mu = 146, Z =    6988386, golden =         6988386
MATCH:  A =  1126448, B = 12898755, M = 13793641, mu = 155, Z =   10532993, golden =        10532993
MATCH:  A = 15081545, B = 13083313, M = 15227957, mu = 141, Z =    1143988, golden =         1143988
MATCH:  A =  8355389, B = 14511090, M = 15800441, mu = 135, Z =   11719640, golden =        11719640
MATCH:  A =  6351382, B =  6335666, M = 11855589, mu = 181, Z =    6662201, golden =         6662201
MATCH:  A =   955048, B =   107912, M =  8428361, mu = 254, Z =    7569829, golden =         7569829
MATCH:  A =  3752704, B =  4802586, M = 10842323, mu = 198, Z =   10601148, golden =        10601148
MATCH:  A =  4647070, B =  1939602, M = 11673245, mu = 183, Z =    5159125, golden =         5159125
MATCH:  A =  2908317, B =  5124212, M = 16115239, mu = 133, Z =    7762130, golden =         7762130
MATCH:  A =  5390941, B =  4314687, M =  9495689, mu = 226, Z =    1086383, golden =         1086383
MATCH:  A =  6276472, B =  5649218, M =  9164109, mu = 234, Z =    2051399, golden =         2051399
MATCH:  A = 14971657, B =  2177447, M = 15521419, mu = 138, Z =   11822761, golden =        11822761
MATCH:  A =  4502818, B =  7949176, M = 16347909, mu = 131, Z =   11414104, golden =        11414104
MATCH:  A =   989954, B = 11848071, M = 14576667, mu = 147, Z =    3060519, golden =         3060519
MATCH:  A =  6674560, B =  4402258, M =  9639075, mu = 222, Z =    5466355, golden =         5466355
MATCH:  A = 10143387, B = 10825600, M = 13820629, mu = 155, Z =    8309982, golden =         8309982
MATCH:  A =   189088, B =  7444329, M =  8856725, mu = 242, Z =    7407527, golden =         7407527
MATCH:  A = 14154383, B =  8328875, M = 14286797, mu = 150, Z =    9640165, golden =         9640165
MATCH:  A =  3779836, B = 10787994, M = 12495173, mu = 171, Z =     559400, golden =          559400
MATCH:  A =  3054227, B = 10079569, M = 13699743, mu = 156, Z =   10203914, golden =        10203914
MATCH:  A =  2531281, B =  5252709, M = 10107531, mu = 212, Z =    9545907, golden =         9545907
MATCH:  A =  8212052, B =  7463418, M = 15463441, mu = 138, Z =    9772596, golden =         9772596
MATCH:  A =  4810475, B =  5685969, M =  9796209, mu = 219, Z =    1059777, golden =         1059777
MATCH:  A =  5108987, B =  6802055, M = 10937949, mu = 196, Z =    7461394, golden =         7461394
MATCH:  A =  7999873, B = 10763947, M = 15425297, mu = 139, Z =     155337, golden =          155337
MATCH:  A = 14404906, B = 14628195, M = 15623031, mu = 137, Z =    2956923, golden =         2956923
MATCH:  A =   942890, B =  6448114, M = 14992035, mu = 143, Z =    7327595, golden =         7327595
MATCH:  A =  7498107, B =  4220159, M = 14678641, mu = 146, Z =    2297442, golden =         2297442
MATCH:  A =   901720, B =  6199910, M = 11661521, mu = 184, Z =    3031716, golden =         3031716
MATCH:  A = 11639740, B = 10467767, M = 14883209, mu = 144, Z =   11154466, golden =        11154466
MATCH:  A = 12284479, B =  9304532, M = 16433737, mu = 130, Z =    3508783, golden =         3508783
MATCH:  A =  1147185, B =  4030545, M = 15035363, mu = 142, Z =     688524, golden =          688524
MATCH:  A =   887998, B =  3445173, M = 11605221, mu = 185, Z =    8004960, golden =         8004960
MATCH:  A =  1883022, B = 10231943, M = 12866089, mu = 166, Z =    5494246, golden =         5494246
MATCH:  A =  3700637, B =   677904, M = 11575349, mu = 185, Z =    9112823, golden =         9112823
MATCH:  A =  3686296, B =  2063622, M = 10429453, mu = 205, Z =    3659348, golden =         3659348
MATCH:  A =  9683850, B =  1934450, M = 11184803, mu = 192, Z =     403935, golden =          403935
MATCH:  A =  8760093, B = 11946688, M = 13558635, mu = 158, Z =   11051934, golden =        11051934
MATCH:  A =  3357838, B =  7177531, M = 15143295, mu = 141, Z =    8333218, golden =         8333218
MATCH:  A = 13859781, B =  4862466, M = 16449759, mu = 130, Z =    8778267, golden =         8778267
MATCH:  A = 14687140, B =  4799718, M = 15201755, mu = 141, Z =    4677340, golden =         4677340
MATCH:  A =  6717884, B = 11313619, M = 12438969, mu = 172, Z =   11673854, golden =        11673854
MATCH:  A =  1798814, B =  7371785, M = 11984037, mu = 179, Z =    1298083, golden =         1298083
MATCH:  A =   115172, B =  5235668, M =  8969549, mu = 239, Z =    6484273, golden =         6484273
MATCH:  A =  2030287, B =  6140113, M =  8822897, mu = 243, Z =    2806839, golden =         2806839
MATCH:  A =  9589681, B =   280780, M = 12449027, mu = 172, Z =    3030377, golden =         3030377
MATCH:  A = 13876580, B =  2066607, M = 14575123, mu = 147, Z =    8354180, golden =         8354180
MATCH:  A =  1585876, B =  5710426, M = 16076171, mu = 133, Z =   14971627, golden =        14971627
MATCH:  A =   795445, B =  9498920, M = 10522945, mu = 204, Z =    4560435, golden =         4560435
MATCH:  A =  1168395, B =  9356473, M = 12744225, mu = 168, Z =    9088935, golden =         9088935
MATCH:  A =    27268, B =  1402964, M = 14129715, mu = 151, Z =    6883847, golden =         6883847
MATCH:  A =   958360, B =  4601838, M = 11682763, mu = 183, Z =    9481469, golden =         9481469
MATCH:  A =  5569079, B =  5163566, M = 11065881, mu = 194, Z =   10644469, golden =        10644469
MATCH:  A = 15208629, B =  5809897, M = 15303739, mu = 140, Z =    8104142, golden =         8104142
MATCH:  A =  7189711, B =  6228239, M = 10222041, mu = 210, Z =    3432074, golden =         3432074
MATCH:  A =  5172334, B =  3527983, M =  9985635, mu = 215, Z =    7238797, golden =         7238797
MATCH:  A =  2377897, B =  4411916, M =  9021939, mu = 238, Z =    1251953, golden =         1251953
MATCH:  A =  6507641, B =  8338418, M = 14451795, mu = 148, Z =    4407478, golden =         4407478
MATCH:  A =  9822203, B =  7489234, M = 11202929, mu = 191, Z =    3436341, golden =         3436341
MATCH:  A =  9344659, B = 14755938, M = 16344287, mu = 131, Z =   10476736, golden =        10476736
MATCH:  A =  1065070, B =  1240616, M = 11446543, mu = 187, Z =   11191915, golden =        11191915
MATCH:  A =   241739, B =  8925956, M = 13978551, mu = 153, Z =    8566573, golden =         8566573
MATCH:  A =   143660, B =  9571249, M =  9571815, mu = 224, Z =    4834775, golden =         4834775
MATCH:  A =  5398136, B =  1047666, M = 14909845, mu = 144, Z =    5153471, golden =         5153471
MATCH:  A =    14138, B =  4530583, M = 11727753, mu = 183, Z =    8123321, golden =         8123321
MATCH:  A =  3584005, B =  4462663, M = 16584389, mu = 129, Z =    6156658, golden =         6156658
MATCH:  A =  8727024, B =  7278521, M = 10958577, mu = 195, Z =    2947515, golden =         2947515
MATCH:  A =  8807139, B =  5675760, M =  8983989, mu = 239, Z =    4966992, golden =         4966992
MATCH:  A =  3985859, B = 12108280, M = 14752565, mu = 145, Z =    1609960, golden =         1609960
MATCH:  A =  4801824, B =  9650742, M = 14062871, mu = 152, Z =   10753044, golden =        10753044
MATCH:  A = 10785302, B =   553365, M = 12150819, mu = 176, Z =    5817267, golden =         5817267
MATCH:  A =   484637, B =  9631561, M = 12791327, mu = 167, Z =   12570844, golden =        12570844
MATCH:  A =  2680867, B =  5388831, M = 10541741, mu = 203, Z =   10536106, golden =        10536106
MATCH:  A =  7399891, B =  6561267, M = 16604811, mu = 129, Z =   10604976, golden =        10604976
MATCH:  A =  9810114, B =  1107101, M = 16101385, mu = 133, Z =     302389, golden =          302389
MATCH:  A =  6686847, B =  8617149, M = 11580453, mu = 185, Z =    2119923, golden =         2119923
MATCH:  A =  9499558, B = 11796699, M = 13263915, mu = 161, Z =    4086282, golden =         4086282
MATCH:  A =   830588, B =  2708876, M =  9660597, mu = 222, Z =    6857788, golden =         6857788
MATCH:  A = 10837805, B = 11168696, M = 12737473, mu = 168, Z =    7120645, golden =         7120645
